Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
CHEM,101,[PSCI] Introduction to Chemistry,01,01435,4,"M,W,F9.10-10",WEB ARR,Elsa Silva Lopez
CHEM,101,[PSCI] Introduction to Chemistry,"","","","","",""
CHEM,101,[PSCI] Introduction to Chemistry,01 Lab,01436,0,W11.20-14.10,TBSL 173,Elsa Silva Lopez
CHEM,101,[PSCI] Introduction to Chemistry,02 Lab,01437,0,W14.40-17.30,TBSL 173,Elsa Silva Lopez
CHEM,101,[PSCI] Introduction to Chemistry,03 Lab,01438,0,TH8-10.50,TBSL 173,Elsa Silva Lopez
CHEM,105,[PSCI] Principles of Chemistry I,"","","","","",""
CHEM,105,[PSCI] Principles of Chemistry I,01,01446,4,"M,W,F14.10-15",WEB ARR,Nelmi Devarie Baez
CHEM,105,[PSCI] Principles of Chemistry I,"","","","","",""
CHEM,105,[PSCI] Principles of Chemistry I,01 Lab,01447,0,TU8-10.50,TBSL 173,Nelmi Devarie Baez
CHEM,105,[PSCI] Principles of Chemistry I,02 Lab,01448,0,TU11.20-14.10,TBSL 173,Nelmi Devarie Baez
CHEM,105,[PSCI] Principles of Chemistry I,03 Lab,01449,0,TU14.40-17.30,TBSL 173,Nelmi Devarie Baez
CHEM,105,[PSCI] Principles of Chemistry I,04 Lab,01450,0,W8-10.50,TBSL 173,Nelmi Devarie Baez
CHEM,345,Organic Chemistry I,"","","","","",""
CHEM,345,Organic Chemistry I,01,01439,4,"TU,TH10.35-11.50",TEST 207,Nelmi Devarie Baez
CHEM,345,Organic Chemistry I,01 Lab,01440,0,TH14.40-17.30,TBSL 173,Nelmi Devarie Baez
CHEM,345,Organic Chemistry I,02 Lab,01441,0,TH18-20.50,TBSL 173,Nelmi Devarie Baez
CHEM,345,Organic Chemistry I,03 Lab,01573,0,F11.20-14.10,TBSL 173,Nelmi Devarie Baez
CHEM,345,Organic Chemistry I,04 Lab,02208,0,W18-20.50,TBSL 173,Nelmi Devarie Baez
CHEM,499,Special Problems,"","","","","",""
CHEM,499,Special Problems,01,01379,V,ARRGT,ARR ARR,Elsa Silva Lopez
COM,"","","","","","","",""
COM,102,[COMM] Public Speaking in the Digital Age,"","","","","",""
COM,102,[COMM] Public Speaking in the Digital Age,01,01478,3,"TU,TH12.05-13.20",TFLO 131,Mysti Meiers
COM,102,[COMM] Public Speaking in the Digital Age,02,01689,3,"M,W,F10.10-11",TFLO 252,Mysti Meiers
COMHLTH,"","","","","","","",""
COMHLTH,571,Communicating Health in Practice,"","","","","",""
COMHLTH,571,Communicating Health in Practice,01,02353,3,ARRGT,ARR ARR,Jessica Willoughby
COMHLTH,571,Communicating Health in Practice,"","","","","",""
COMHLTH,571,Communicating Health in Practice,"","","","","",""
COMHLTH,572,Communicating Health to Specialized Populations,"","","","","",""
COMHLTH,572,Communicating Health to Specialized Populations,01,15352,3,ARRGT,ARR ARR,Chelsea Newman
COMHLTH,572,Communicating Health to Specialized Populations,"","","","","",""
COMHLTH,572,Communicating Health to Specialized Populations,"","","","","",""
CPT_S,"","","","","","","",""
CPT_S,121,Program Design and Development C/C++,"","","","","",""
CPT_S,121,Program Design and Development C/C++,01,01294,4,"M,W16.15-17.30",TBSL 101,Luis Delatorre
CPT_S,121,Program Design and Development C/C++,01 Lab,01295,0,F16.10-19,TFLO 145,Luis Delatorre
CPT_S,223,Advanced Data Structures C/C++,"","","","","",""
CPT_S,223,Advanced Data Structures C/C++,01,01296,3,"M,W16.15-17.30",TBSL 104,Nathan Tenney
CPT_S,224,Programming Tools,"","","","","",""
CPT_S,224,Programming Tools,01,01297,2,"TU,TH16.20-17.10",TFLO 131,Luis Delatorre
CPT_S,260,Introduction to Computer Architecture,"","","","","",""
