Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
CE,495,Engineering Experience,01,"",V,ARRGT,ARR ARR,(multiple)
CE,499,Special Problems,01,"",V,ARRGT,ARR ARR,(multiple)
CE,511,Advanced Topics in Geotechnical Engineering,01,07500,V,"M,W17.10-18.25",WEB ARR,I Akin
CE,511,Advanced Topics in Geotechnical Engineering,02,08797,V,W16-18.30,WEB ARR,""
CE,519,Hazardous Waste Treatment,01,04911,3,"TU,TH12.05-13.20",WEB ARR,R Watts
CE,531,Probability and Statistical Models in Engineering,01,07899,3,"M,W13.10-14.25",WEB ARR,J Lee
CE,532,Finite Elements,01,04923,3,"TU,TH13.30-14.45",WEB ARR,P Qiao
CE,533,Advanced Reinforced Concrete Design,01,04925,3,"TU,TH14.55-16.10",WEB ARR,P Qiao
CE,538,Earthquake Engineering,01,07896,3,"M,W7.45-9",WEB ARR,J Dolan
CE,539,Advanced Design of Timber Structures,01,04926,3,"M,W13.10-14.25",WEB ARR,D Bender
CE,542,Biochemical Wastewater Treatment,01,07331,3,"M,W9.10-10.25",WEB ARR,C Gardner
CE,543,Advanced Topics in Environmental Engineering Practice,04,16544,V,"TU,TH10.35-11.50",WEB ARR,Y Demissie
CE,551,Open Channel Flow,01,09113,3,"M,W,F11.10-12",WEB ARR,A Richey
CE,564,Numerical Methods,01,07777,3,"TU,TH12.05-13.20",WEB ARR,N Engdahl
CE,580,Graduate Seminar,01,04927,1,M16.10-17,WEB ARR,I Chowdhury
CE,580,Graduate Seminar,02,04928,1,M16.10-17,WEB ARR,A Phillips
CE,580,Graduate Seminar,03,04929,1,M16.10-17,WEB ARR,H Wen
CE,600,Special Projects or Independent Study,01,04930,V,ARRGT,ARR ARR,I Chowdhury
CE,600,Special Projects or Independent Study,03,04932,V,ARRGT,ARR ARR,H Wen
CE,700,"Master's Research, Thesis and/or Examination",01,04933,V,ARRGT,ARR ARR,(multiple)
CE,702,"Master's Special Problems, Directed Study, and/or Examination",01,04934,V,ARRGT,ARR ARR,(multiple)
CE,800,"Doctoral Research, Dissertation, and/or Examination",01,04935,V,ARRGT,ARR ARR,(multiple)
CES,101,[DIVR] Introduction to Comparative Ethnic Studies,01,07311,3,"M,W,F10.10-11",WEB ARR,A Romero
CES,101,[DIVR] Introduction to Comparative Ethnic Studies,02,05919,3,"TU,TH10.35-11.50",WEB ARR,T Carrasco
CES,101,[DIVR] Introduction to Comparative Ethnic Studies,03,08905,3,"M,W,F11.10-12",WEB ARR,M Cook
CES,209,[HUM] Hip Hop Around the Globe,01,05922,3,ARRGT,ARR ARR,D Leonard
CES,271,[HUM] Native Music of North America,01,06507,3,"M,W,F14.10-15",WEB ARR,M Parkhurst
CES,271,[HUM] Native Music of North America,02,06902,3,ARRGT,ARR ARR,M Parkhurst
CES,335,[SSCI] Black Freedom Struggle,01,07041,3,"TU,TH12.05-13.20",WEB ARR,D Leonard
CES,359,Chicana/o and Latina/o Politics,01,09448,3,"M,W,F13.10-14",WEB ARR,S Ginsburg
CES,401,Seminar in Culture and Power,01,14471,3,"M,W,F13.10-14",WEB ARR,J Streamas
CES,413,Asian Pacific Americans and Popular Culture,01,14473,3,"TU,TH12.05-13.20",WEB ARR,R Ong
CES,489,[CAPS] Everyday Struggles for Justice and Equality,01,05924,3,"TU,TH13.30-14.45",WEB ARR,L Guerrero
CES,491,[M] Theories of Racism and Ethnic Conflicts,01,14477,3,"M,W,F11.10-12",WEB ARR,J Streamas
CHE,110,Introduction to Chemical Engineering,01,03936,2,"M,W10.10-11",WEB ARR,P Pfromm
CHE,211,Process Simulation,01,03937,3,"TU,TH13.25-14.40",WEB ARR,P Pfromm
CHE,321,Kinetics and Reactor Design,01,03938,3,"M,W,F10.10-11",WEB ARR,H Lin
CHE,332,Fluid Mechanics and Heat Transfer,01,08067,3,"M,W,F9.10-10",WEB ARR,D Wu
CHE,334,Chemical Engineering Separations,01,03939,3,"M,W,F14.10-15",WEB ARR,C Ivory
CHE,422,Catalysis: From Fundamentals to Industrial Applications,01,08068,3,"TU,TH13.30-14.45",WEB ARR,N Kruse
CHE,433,[M] Chemical Engineering Lab II,01,03940,2,"TU,TH9.10-12",ETRL 4,D Thiessen
CHE,433,[M] Chemical Engineering Lab II,02,03941,2,"TU,TH14.50-17.40",ETRL 4,D Thiessen
CHE,451,[CAPS] [M] Chemical Process Analysis and Design II,01,03942,3,"M,W,F15.10-16",WEB ARR,M Levin
CHE,462,Applied Electrochemistry,01,08875,3,"TU,TH12-13.15",WEB ARR,S Ha
CHE,481,Special Topics in Chemical Engineering,01,07262,V,"M,W,F14.10-15",WEB ARR,J Mcewen
CHE,481,Special Topics in Chemical Engineering,02,15007,V,"M,W,F10.10-11",WEB ARR,X Zhang
CHE,485,Interfacial Phenomena,01,15019,3,"M,W,F9.10-10",WEB ARR,S Saunders
CHE,488,Professional Practice Coop/Internship I,01,"",V,ARRGT,ARR ARR,(multiple)
CHE,495,Chemical Engineering Internship,01,"",2,ARRGT,ARR ARR,J Petersen
CHE,498,Technical Seminar,01,03944,1,M11.10-12,WEB ARR,J Petersen
CHE,499,Special Problems,01,"",V,ARRGT,ARR ARR,(multiple)
CHE,527,Chemical Thermodynamics,01,08255,3,"M,W,F10.10-11",WEB ARR,B Vanwie
CHE,529,Chemical Engineering Kinetics,01,08256,3,"TU,TH9.10-10.25",WEB ARR,H Lin
CHE,581,Advanced Topics in Chemical Engineering,01,08706,V,ARRGT,ARR ARR,W Dong
CHE,581,Advanced Topics in Chemical Engineering,02,09690,V,ARRGT,ARR ARR,J Mcewen
CHE,581,Advanced Topics in Chemical Engineering,03,14975,V,"M,W,F11.10-12",WEB ARR,X Wang
